Date,CAC40,FTSE100,DAX
2022-05-25,6298.64013671875,7522.7998046875,14007.9296875
2022-05-26,6410.580078125,7564.89990234375,14231.2900390625
2022-05-27,6515.75,7585.5,14462.1904296875
2022-05-30,6562.39013671875,7600.10009765625,14575.98046875
2022-05-31,6468.7998046875,7607.7001953125,14388.349609375
2022-06-01,6418.89013671875,7533.0,14340.4697265625
2022-06-02,6500.43994140625,,14485.169921875
2022-06-03,6485.2998046875,,14460.08984375
2022-06-06,6548.77978515625,7608.2001953125,14653.8095703125
2022-06-07,6500.35009765625,7598.89990234375,14556.6201171875
2022-06-08,6448.6298828125,7593.0,14445.990234375
2022-06-09,6358.4599609375,7476.2001953125,14198.7998046875
2022-06-10,6187.22998046875,7317.5,13761.830078125
2022-06-13,6022.31982421875,7205.7998046875,13427.0302734375
2022-06-14,5949.83984375,7187.5,13304.3896484375
2022-06-15,6030.1298828125,7273.39990234375,13485.2900390625
2022-06-16,5886.240234375,7045.0,13038.490234375
2022-06-17,5882.64990234375,7016.2998046875,13126.259765625
2022-06-20,5920.08984375,7121.7998046875,13265.599609375
2022-06-21,5964.66015625,7152.10009765625,13292.400390625
2022-06-22,5916.6298828125,7089.2001953125,13144.2802734375
2022-06-23,5883.330078125,7020.5,12912.58984375
2022-06-24,6073.35009765625,7208.7998046875,13118.1298828125
2022-06-27,6047.31005859375,7258.2998046875,13186.0703125
2022-06-28,6086.02001953125,7323.39990234375,13231.8203125
2022-06-29,6031.47998046875,7312.2998046875,13003.349609375
2022-06-30,5922.85986328125,7169.2998046875,12783.76953125
2022-07-01,5931.06005859375,7168.7001953125,12813.0302734375
2022-07-04,5954.64990234375,7232.7001953125,12773.3798828125
2022-07-05,5794.9599609375,7025.5,12401.2001953125
2022-07-06,5912.3798828125,7107.7998046875,12594.51953125
2022-07-07,6006.7001953125,7189.10009765625,12843.2197265625
2022-07-08,6033.1298828125,7196.2001953125,13015.23046875
2022-07-11,5996.2998046875,7196.60009765625,12832.4404296875
2022-07-12,6044.2001953125,7209.89990234375,12905.48046875
2022-07-13,6000.240234375,7156.39990234375,12756.3203125
2022-07-14,5915.41015625,7039.7998046875,12519.66015625
2022-07-15,6036.0,7159.0,12864.7197265625
2022-07-18,6091.91015625,7223.2001953125,12959.8095703125
2022-07-19,6201.22021484375,7296.2998046875,13308.41015625
2022-07-20,6184.66015625,7264.2998046875,13281.98046875
2022-07-21,6201.10986328125,7270.5,13246.6396484375
2022-07-22,6216.81982421875,7276.39990234375,13253.6796875
2022-07-25,6237.5498046875,7306.2998046875,13210.3203125
2022-07-26,6211.4501953125,7306.2998046875,13096.9296875
2022-07-27,6257.93994140625,7348.2001953125,13166.3798828125
2022-07-28,6339.2099609375,7345.2998046875,13282.1103515625
2022-07-29,6448.5,7423.39990234375,13484.0498046875
2022-08-01,6436.85986328125,7413.39990234375,13479.6298828125
2022-08-02,6409.7998046875,7409.10009765625,13449.2001953125
2022-08-03,6472.06005859375,7445.7001953125,13587.5595703125
